id;zagolovok;index;name;date;sheets;number;direction;note;
1;Воронежская область;01-14-07/5099;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;05.12.2012;;;;"ООО ""Ольховлогское""";
2;;01-14-07/5032;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;29.11.2012;;;;"ОАО ""Ольховатский сахарный комбинат""";
3;;01-14-07/8023;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;24.12.2012;;;;"ЗАО ""Агрофирма Павловская нива""";
4;;01-14-07/7029;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;17.12.2012;;;;"ООО ""Перелешенский сахарный комбинат""";
5;;01-14-07/82;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;24.12.2012;;;;"ООО ""Степь""";
6;;01-14-07/8009;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;24.12.2012;;;;"ООО""Агроединство""";
7;;01-14-07/8008;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;24.12.2012;;;;"ООО""Агроединство""";
8;;01-14-07/8010;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;24.12.2012;;;;"ООО""Хозяйский двор""";
9;;01-14-07/8011;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;24.12.2012;;;;"ООО""Хозяйский двор""";
10;;01-14-07/7053;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;18.12.2012;;;;"ООО ""Специализированное хозяйство Московское""";
11;;01-14-07/7031;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;17.12.2012;;;;"ООО ""Специализированное хозяйство Московское""";
12;;01-14-07/7030;Заявка Департамента аграрной политики Воронежскй области на участие в отборе;17.12.2012;;;;"ООО ""Специализированное хозяйство Московское""";
13;Владимирская область;ДСХП-2817-08-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;12.09.2012;;;;"СПК ""Шипилово""(№2484/0032/8380)
ООО ""Ручейки""
СПК ""Красный Октябрь""";
14;;ДСХП-2823-07-06;Заявка Департамента сельского хозяйства и продовольствия администрации Владимирской области на участие в отборе;12.09.2012;;;;"нет реестра
СПК ""Красный Октябрь""";
15;Краснодарский край;206.06-994/1201;Заявка Министерства сельского хозяйства и перерабатывающей промышленности Краснодарского края на участие в отборе с приложением на 1 л.;30.11.2012;2;01.фев;;;
16;;1866/452/21820;"Копия договора между ОАО ""Сбербанк России"" и ООО ""Птицефабрика ""Приморская"" об открытии невозобновляемой кредитной линии";30.09.2011;24;мар.26;;;
17;;б/н;График погашения кредита за пользование кредитными средствами согласно Договору № 1866/452/21820 от 30.09.2011; -;8;27-34;;;
18;;206.06-1433/1201;Заявка Министерства сельского хозяйства и перерабатывающей промышленности Краснодарского края на участие в отборе ;29.12.2012;3;35-37;;;
19;;110300/0068;"Копия договора между ОАО ""Россельхозбанк"" и ОАО ""Агрообъединение ""Кубань"" об открытии кредитной линии";18.11.2011;19;38-56;;;
20;;5;Копия дополнительного соглашения к договору №110300/0068 от 18.11.2015;05.09.2013;3;57-59;;;
21;;б/н;Копия графика погашения (возврата) Кредита (основного долга) по Договору  №110300/0068 от 18.11.2015; -;5;60-64;;;
22;Ленинградская область;02-15/425;Заявка Комитета по агропромышленному комплексу Ленинградской области на участие в отборе;21.09.2012;;;;"ОАО ""Волошово""";
23;;02-15/424;Заявка Комитета по агропромышленному и рыбохозяйственному комплексу Ленинградской области на участие в отборе;21.09.2012;;;;"ОАО ""Птицефабрика ""Северная""";
24;Новгородская область;СХ-2299-И;Заявка Комитета по сельскому хозяйству и продовольствию Новгородской области на участие в отборе;12.09.2012;;;;"ООО""Агрохолдинг ""Устьволмский""";
25;;СХ-2008-И;Заявка Комитета по сельскому хозяйству и продовольствию Новгородской области на участие в отборе;13.08.2012;;;;"ООО ""Луженское""";
26;;СХ-2324-И;Заявка Комитета по сельскому хозяйству и продовольствию Новгородской области на участие в отборе;18.09.2012;;;;"ООО ""Новгородские теплицы""";
27;;СХ-2325-И;Заявка Комитета по сельскому хозяйству и продовольствию Новгородской области на участие в отборе;18.09.2012;;;;"ОАО ""Ермолинское""";
28;;СХ-2393-И;Заявка Комитета по сельскому хозяйству и продовольствию Новгородской области на участие в отборе;21.09.2012;;;;"ООО ""Трубичино""";
29;Псковская область;05-23/3128;Заявка Главного государственного управления сельского хозяйства, ветеринарии и гостехнадзора Псковской области на участие в отборе;25.09.2012;;;;"ООО ""Дашенька""";
30;Челябинская область;4397;Заявка Министерства сельского хозяйства Челябинской области на участие в отборе ;10.08.2012;;;;"ОАО Птицефабрика Челябинская""";
31;;4679;Заявка Министерства сельского хозяйства Челябинской области на участие в отборе ;24.08.2012;;;;"ЗАО ""Уралбройлер""";
32;Белгородская область;6-02/1732;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;14.10.2013;;;;"ООО ""Корочанские сады"";                                      ЗАО ""Присколье""";
33;;6-01/504;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;06.05.2013;;;;"ИП ""С.В. Стрельцов""
 ИП ""С.В. Стрельцов""
ООО ""Руссагро-Инвест""";
34;;6-02/1766;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;15.10.2013;;;;"ООО ""Мясокомбинат ""Бессоновский""";
35;;6-02/1787;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;16.10.2013;;;;"ООО ""Теплицы Белогорья""";
36;;06.02.1979;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;07.11.2013;;;;"ОАО ""ЭФКО""";
37;;6-01/900;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.07.2013;;;;"ЗАО ""Приосколье""
ИП Снаговская В.И. глава КФХ ""Вейделевский сад""";
38;;6-01/851;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;12.07.2013;;;;"ЗАО ""Красноярушская зерновая компания""(№601512061)
ИП Литвинов А.Н.
ИП глава КФХ Мазнев С.В.
 ИП глава КФХ Ризаев Т.М.
ИП глава КФХ Повлавский Г.И.
ИП глава КФХ Повлатский Г.И.
СПК ""Нива""";
39;;6-01/802;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;03.07.2013;;;;"ООО ""СХП ""Теплицы Белогорья""";
40;;6-02/1196;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.07.2013;;;;ИП Глава КФХ Астапова Р.Д. Шебекинского района ;
41;;6-01/901;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.07.2013;;;;"СПК ""Вислое""
СПК ""Вислое""
ИП Глава КФХ  Бабынин В.И. (№ 113007/0007)
ООО ""Агротех - Гарант "" Алексеевский""";
42;;6-02/807;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.05.2013;;;;"СПК ""Большевик""";
43;;6-01/627;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.05.2013;;;;"ООО ""Источник""";
44;;6-02/1026;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;03.07.2013;;;;"ИП Глава КФХ Бобылёв Владимир Григорьевич 
ИП Глава КФХ Бобылёв Владимир Григорьевич";
45;;6-02/1579;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;03.09.2013;;;;"ООО ""Тепличный комплекс Белогорья""";
46;;6-02/1735;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;14.10.2013;;;;"ООО ""Прохоровский комбикормовый завод""
ООО ""Белго Ген""";
47;;06.02.1938;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;01.11.2013;;;;"ЗАО ""Губкинский мясокобинат""";
48;;06.02.1937;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;01.11.2013;;;;"ЗАО ""БелКом""";
49;;6-02/1476;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.08.2013;;;;"ООО ""Белгранкорм""";
50;;06.02.1945;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;01.11.2013;;;;"ИП Глава КФХ Лавриненко Александр Валентинович
ИП Бахолдин Денис Владимирович
КФХ ""Возрождение""
КФХ ""Возрождение""
КФХ ""Возрождение""
ИП Глава КФХ Костюков Николай Иванович
ИП Глава КФХ Винник Юрий Иванович
ИП Глава КФХ Винник Юрий Иванович
ИП Рядинский Николай Николаевич";
51;;6-02/1732;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;14.10.2013;;;;"ЗАО ""Приосколье""";
52;;6-01/800;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;03.07.2013;;;;"ООО ""Заря-2000""
ООО ""Агротех-Гарант"" Щербаковское
КФХ ""Крона""
КФХ ""Крона""
КФХ ""Крона""";
53;;6-01/500;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;06.05.2013;;;;"ООО ""Советское""";
54;;6-02/805;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;29.05.2013;;;;"ЗАО ""Бобровское""
ЗАО ""Бобровское""
СПК ""Большевик""
ЗАО ""Краснояружская зерновая компания""
ЗАО ""Краснояружская зерновая компания""  ";
55;;6-02/1478;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.08.2013;;;;"ООО ""Русагро-Инвест""";
56;;6-02/1479;Заявка Департамента агропромышленного комплекса Белгородской области на участие в отборе;27.08.2013;;;;"ЗАО ""Оскольское молоко""";
